Sweep - Function 1 
Frequency vs Frequency
"X (Hz),""Ch-1 (Hz)"""
80,80.5861129760742
82.6438599635144,57.8297386169434
85.3750948708623,57.1593780517578
88.1965923109912,88.468635559082
91.1113353026091,91.797492980957
94.1224054479705,94.7840576171875
97.2329861908899,70.3267974853516
100.446366182428,100.917274475098
103.765942757806,109.834266662598
107.195225528227,114.023414611816
110.737840091402,112.147354125977
114.397531864698,114.720916748047
118.178170044972,124.046485900879
122.083751699264,121.919586181641
126.11840599068,126.051361083984
130.286398543943,129.135681152344
134.592135955203,133.704788208008
139.040170450901,138.599517822266
143.635204700593,143.44270324707
148.382096788832,147.969421386719
153.285865351361,152.828094482422
158.35169488105,158.108337402344
163.584941209183,163.426788330078
168.991137167893,168.96826171875
174.57599843973,174.504516601562
180.345429600547,180.700607299805
186.305530362093,186.213104248047
192.462602020914,192.645690917969
198.823154120375,198.979919433594
205.393911332857,205.667556762695
212.181820569389,212.547592163086
219.194058324252,219.348297119141
226.438038262298,226.787658691406
233.921419057029,234.138412475586
241.652112487696,241.985549926758
249.638291804007,249.807601928711
257.888400367266,258.109100341797
266.411160577088,266.62841796875
275.215583093128,275.377655029297
284.310976361568,284.334899902344
293.706956456444,293.743255615234
303.413457246204,303.342559814453
313.440740896264,313.323577880859
323.799408718638,323.690246582031
334.500412380148,334.350280761719
345.555065481035,345.370056152344
356.975055516221,356.859069824219
368.77245623188,368.671600341797
380.959740390359,380.770233154297
393.54979295697,393.515472412109
406.555924722574,406.347137451172
419.991886376369,420.036315917969
433.871883043761,433.899627685547
448.210589304687,448.274353027344
463.02316470826,463.069793701172
478.325269800159,478.426025390625
494.133082679682,494.105285644531
510.463316103992,510.513916015625
527.333235157618,527.402587890625
544.760675505915,544.744262695312
562.764062251755,562.833435058594
581.362429415407,581.319213867188
600.575440058192,600.579406738281
620.423407071191,620.363464355469
640.927314650975,640.903503417969
662.108840485082,662.068481445312
683.990378670675,684.032043457031
706.595063390631,706.620483398437
729.946793372074,729.932434082031
754.070257153225,754.039001464844
778.990959185281,778.996704101562
804.735246796902,804.758972167969
831.330338049842,831.293395996094
858.804350515153,858.844116210937
887.18633100039,887.210327148437
916.506286259255,916.454223632812
946.795214716132,946.771545410156
978.085139239069,978.035827636719
1010.40914099585,1010.41925048828
1043.80139442895,1043.78393554687
